Amazon Echo,1581620290.57037,-37.0
Nest Camera,1581620290.583931,-41.0
Nest Camera,1581620290.596784,-43.0
Nest Camera,1581620290.632275,-40.0
Amazon Echo,1581620290.633831,-38.0
Amazon Echo,1581620290.634262,-38.0
Amazon Echo,1581620290.646907,-38.0
Nest Camera,1581620290.661165,-43.0
Nest Camera,1581620290.696287,-41.0
Amazon Echo,1581620290.713921,-38.0
Nest Camera,1581620290.726138,-44.0
Nest Camera,1581620290.726407,-44.0
Amazon Echo,1581620290.727012,-39.0
Nest Camera,1581620290.729694,-44.0
Nest Camera,1581620290.765391,-40.0
Nest Camera,1581620290.767747,-43.0
Nest Camera,1581620290.803696,-41.0
Nest Camera,1581620290.805096,-43.0
Nest Camera,1581620290.805354,-43.0
Amazon Echo,1581620290.806781,-39.0
Nest Camera,1581620290.840833,-41.0
Nest Camera,1581620290.866755,-42.0
Amazon Echo,1581620290.873985,-38.0
Amazon Echo,1581620290.886306,-38.0
Amazon Echo,1581620290.88631,-38.0
Nest Camera,1581620290.901957,-39.0
Nest Camera,1581620290.906109,-41.0
Nest Camera,1581620290.906115,-41.0
Nest Camera,1581620290.907684,-41.0
Nest Camera,1581620290.942985,-40.0
Nest Camera,1581620290.944977,-42.0
Amazon Echo,1581620290.953727,-37.0
Amazon Echo,1581620290.967846,-37.0
Vizio SmartTV,1581620290.97244,-55.0
Vizio SmartTV,1581620290.972444,-56.0
Vizio SmartTV,1581620290.972645,-55.0
Vizio SmartTV,1581620290.97305,-55.0
Vizio SmartTV,1581620290.973054,-55.0
Nest Camera,1581620290.980124,-40.0
Nest Camera,1581620290.980752,-40.0
Nest Camera,1581620290.989138,-42.0
Vizio SmartTV,1581620291.000733,-55.0
Vizio SmartTV,1581620291.002849,-55.0
Amazon Echo,1581620291.0085,-42.0
Nest Camera,1581620291.030411,-39.0
Nest Camera,1581620291.035249,-41.0
Vizio SmartTV,1581620291.042052,-55.0
Amazon Echo,1581620291.050425,-38.0
Nest Camera,1581620291.072184,-39.0
Nest Camera,1581620291.073605,-42.0
Nest Camera,1581620291.10997,-40.0
Amazon Echo,1581620291.113894,-38.0
Nest Camera,1581620291.12618,-42.0
Amazon Echo,1581620291.132211,-38.0
Amazon Echo,1581620291.132217,-38.0
Amazon Echo,1581620291.132228,-38.0
Nest Doorbell,1581620291.161485,-38.0
Nest Doorbell,1581620291.162479,-38.0
Nest Doorbell,1581620291.162483,-40.0
Nest Camera,1581620291.162812,-41.0
Nest Camera,1581620291.193363,-43.0
Amazon Echo,1581620291.193367,-37.0
Amazon Echo,1581620291.194321,-37.0
Nest Camera,1581620291.194972,-43.0
